Player,Years,Seasons,Pos,G,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
Alando Tucker,3.0,2008 - 2010,SF,51,8.35,1.51,3.57,42.296918767507,0.2,0.67,29.850746268656714,1.31,2.9,45.17241379310345,45.09803921568628,0.92,1.18,77.96610169491525,0.57,0.39,0.96,0.31,0.1,0.04,0.37,0.43,4.14
Alec Burks,8.0,2012 - 2019,SG,429,21.1,3.3,7.8,42.30769230769231,0.67,1.9,35.26315789473685,2.62,5.9,44.40677966101695,46.6025641025641,2.26,2.93,77.13310580204778,0.59,2.45,3.04,1.7,0.61,0.17,1.25,1.72,9.53
Alec Peters,1.0,2018 - 2018,PF,20,11.25,1.4,3.7,37.83783783783783,0.9,2.9,31.03448275862069,0.5,0.8,62.5,49.99999999999999,0.4,0.5,80.0,0.4,1.45,1.85,0.6,0.1,0.1,0.2,0.65,4.1
Aleksandar Radojevic,2.0,2000 - 2005,C,15,10.13,0.53,1.73,30.63583815028902,0.0,0.0,,0.53,1.73,30.63583815028902,30.63583815028902,0.67,1.07,62.616822429906534,0.73,1.67,2.4,0.47,0.13,0.2,1.33,2.47,1.73
Alex Abrines,3.0,2017 - 2019,SG,174,15.96,1.75,4.53,38.63134657836645,1.26,3.42,36.8421052631579,0.49,1.11,44.144144144144136,52.538631346578356,0.55,0.62,88.70967741935485,0.28,1.14,1.43,0.51,0.53,0.13,0.41,1.67,5.31
Alex Acker,2.0,2006 - 2009,SG,30,7.8,1.13,3.07,36.807817589576544,0.27,0.83,32.53012048192772,0.87,2.23,39.01345291479821,41.20521172638437,0.17,0.33,51.515151515151516,0.3,0.67,0.97,0.53,0.2,0.13,0.37,0.43,2.7
Alex Caruso,2.0,2018 - 2019,PG,62,17.63,2.05,4.66,43.99141630901287,0.6,1.5,40.0,1.45,3.16,45.88607594936708,50.42918454935621,1.16,1.52,76.3157894736842,0.56,1.56,2.13,2.45,0.76,0.31,1.35,1.71,5.85
Alex Garcia,2.0,2004 - 2005,SG,10,15.9,1.9,5.9,32.20338983050847,0.5,1.8,27.77777777777778,1.4,4.1,34.146341463414636,36.440677966101696,0.4,0.6,66.66666666666667,0.7,0.8,1.5,1.8,0.6,0.1,0.9,1.5,4.7
Alex Kirk,1.0,2015 - 2015,C,5,2.8,0.2,0.8,25.0,0.0,0.0,,0.2,0.8,25.0,25.0,0.4,0.4,100.0,0.2,0.0,0.2,0.2,0.0,0.0,0.0,0.2,0.8
Alex Len,6.0,2014 - 2019,C,412,19.9,3.01,6.17,48.78444084278768,0.19,0.56,33.92857142857142,2.82,5.62,50.17793594306049,50.32414910858996,1.74,2.5,69.6,2.06,4.25,6.31,0.84,0.41,1.0,1.27,2.7,7.95
Alex Poythress,3.0,2017 - 2019,PF,52,10.88,1.46,3.1,47.096774193548384,0.37,1.02,36.27450980392157,1.1,2.08,52.88461538461539,53.064516129032256,0.5,0.75,66.66666666666666,0.9,1.44,2.35,0.46,0.19,0.25,0.35,1.48,3.79
Alex Scales,1.0,2006 - 2006,SG,1,0.0,0.0,0.0,,0.0,0.0,,0.0,0.0,,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Alex Stepheson,1.0,2016 - 2016,PF,8,9.12,1.12,3.38,33.13609467455622,0.0,0.0,,1.12,3.38,33.13609467455622,33.13609467455622,0.5,1.5,33.33333333333333,2.38,1.12,3.5,0.25,0.12,0.62,0.0,1.5,2.75
Alexander Johnson,2.0,2007 - 2008,PF,102,12.76,1.49,2.88,51.736111111111114,0.0,0.0,,1.49,2.88,51.736111111111114,51.736111111111114,1.32,1.97,67.00507614213198,0.8,1.89,2.7,0.29,0.37,0.44,0.87,2.13,4.3
Alexey Shved,3.0,2013 - 2015,SG,182,17.97,2.45,6.63,36.95324283559578,0.89,2.91,30.58419243986254,1.55,3.73,41.55495978552279,43.665158371040725,1.63,2.14,76.16822429906541,0.47,1.48,1.95,2.53,0.6,0.27,1.34,1.1,7.41
