College,Total Players,Total Prized Players,Year/PLR,Total Awards,ScaledRating,College Grade
"University of Arizona, University of Tennessee, Auburn University at Montgomery",1,0,4.0,0.0,0.0,0.8
"University of New Mexico, Saint Vincent College",1,0,4.0,0.0,0.0,0.8
Loyola University of Chicago,4,0,1.0,0.0,0.0,0.8
"University of Florida, University of Louisiana at Lafayette",1,0,4.0,0.0,0.0,0.8
"South Plains College, University of Arkansas",1,0,3.0,0.0,0.0,0.6
University of Central Florida,2,0,1.5,0.0,0.0,0.6
Kent State University,2,0,1.5,0.0,0.0,0.6
William Paterson University,2,0,1.5,0.0,0.0,0.6
Winston-Salem State University,1,0,3.0,0.0,0.0,0.6
Nicholls State University,1,0,3.0,0.0,0.0,0.6
"Indian Hills Community College, University of Tennessee at Chattanooga",1,0,3.0,0.0,0.0,0.6
Tennessee Technological University,2,0,1.5,0.0,0.0,0.6
"Kentucky State University, Alabama State University",1,0,3.0,0.0,0.0,0.6
"Lamar University, University of New Orleans",1,0,3.0,0.0,0.0,0.6
University of Pennsylvania,2,0,1.5,0.0,0.0,0.6
Wingate University,1,0,3.0,0.0,0.0,0.6
Middle Tennessee State University,2,0,1.5,0.0,0.0,0.6
"Georgetown University, University of Nevada, Las Vegas",1,0,3.0,0.0,0.0,0.6
"University of Oklahoma, University of Notre Dame",1,0,3.0,0.0,0.0,0.6
"University of Illinois at Chicago, Robert Morris University (IL)",1,0,3.0,0.0,0.0,0.6
"University of Arkansas, University of Missouri",1,0,3.0,0.0,0.0,0.6
"University of Houston, University of Oregon",1,0,3.0,0.0,0.0,0.6
"University of Illinois at Urbana-Champaign, Arizona State University",1,0,3.0,0.0,0.0,0.6
"California Polytechnic State University, San Luis Obispo",1,0,3.0,0.0,0.0,0.6
South Dakota State University,1,0,3.0,0.0,0.0,0.6
"James Madison University, Averett University",1,0,3.0,0.0,0.0,0.6
Long Island University,1,0,3.0,0.0,0.0,0.6
"University of Louisiana at Lafayette, University of Alabama at Birmingham",1,0,3.0,0.0,0.0,0.6
"Iowa State University, Louisiana State University",1,0,3.0,0.0,0.0,0.6
"University of Florida, University of Cincinnati",1,0,3.0,0.0,0.0,0.6
"North Carolina State University, Iona College",1,0,3.0,0.0,0.0,0.6
"Howard University, University of Tulsa, University of Colorado",1,0,3.0,0.0,0.0,0.6
"University of Virginia, University of Texas at Austin",1,0,3.0,0.0,0.0,0.6
"University of Colorado, University of Arkansas at Little Rock",1,0,3.0,0.0,0.0,0.6
George Mason University,3,0,1.0,0.0,0.0,0.6
"St. John's University, Duke University",1,0,3.0,0.0,0.0,0.6
"University of Southern California, Loyola Marymount University",1,0,3.0,0.0,0.0,0.6
"Tyler Junior College, University of Idaho",1,0,3.0,0.0,0.0,0.6
East Tennessee State University,1,0,3.0,0.0,0.0,0.6
"Texas A&M University, Purdue University",1,0,3.0,0.0,0.0,0.6
Dartmouth College,2,0,1.5,0.0,0.0,0.6
Northern Arizona University,2,0,1.5,0.0,0.0,0.6
James Madison University,1,0,3.0,0.0,0.0,0.6
Morehouse College,1,0,3.0,0.0,0.0,0.6
"Loyola Marymount University, University of California, Santa Barbara",1,0,3.0,0.0,0.0,0.6
College of the Holy Cross,2,0,1.5,0.0,0.0,0.6
Indiana State University,1,0,3.0,0.0,0.0,0.6
Delta State University,1,0,3.0,0.0,0.0,0.6
"University of Virginia, California State University, Fresno",1,0,3.0,0.0,0.0,0.6
"Providence College, University of Pennsylvania",1,0,3.0,0.0,0.0,0.6
Oakland University,2,0,1.5,0.0,0.0,0.6
"University of Kentucky, Syracuse University",1,0,3.0,0.0,0.0,0.6
"Okaloosa-Walton Community College, University of Alabama at Birmingham",1,0,2.0,0.0,0.0,0.4
"University of Tennessee, University of California",1,0,2.0,0.0,0.0,0.4
"Baylor University, Mississippi State University",1,0,2.0,0.0,0.0,0.4
Midland College,1,0,2.0,0.0,0.0,0.4
"University of Pittsburgh, University of Nevada, Las Vegas",1,0,2.0,0.0,0.0,0.4
"Ohio State University, Cleveland State University",1,0,2.0,0.0,0.0,0.4
North Park University,1,0,2.0,0.0,0.0,0.4
Loyola Marymount University,2,0,1.0,0.0,0.0,0.4
"University of Oklahoma, University of Nevada, Las Vegas",1,0,2.0,0.0,0.0,0.4
"Drexel University, University of Louisville",1,0,2.0,0.0,0.0,0.4
American University,1,0,2.0,0.0,0.0,0.4
"Rutgers University, Long Island University",1,0,2.0,0.0,0.0,0.4
"Ball State University, Oakland University",1,0,2.0,0.0,0.0,0.4
"University of Oregon, University of Houston",1,0,2.0,0.0,0.0,0.4
"University of Colorado, Northern Illinois University",1,0,2.0,0.0,0.0,0.4
University of Toledo,2,0,1.0,0.0,0.0,0.4
"Butler County Community College, Seward County Community College",1,0,2.0,0.0,0.0,0.4
"Pennsylvania State University, Saint Francis University",1,0,2.0,0.0,0.0,0.4
"University of Illinois at Urbana-Champaign, University of Evansville",1,0,2.0,0.0,0.0,0.4
"University of Minnesota, Syracuse University",1,0,2.0,0.0,0.0,0.4
Liberty University,2,0,1.0,0.0,0.0,0.4
Molloy,1,0,2.0,0.0,0.0,0.4
"Boston College, California State University, Fresno",1,0,2.0,0.0,0.0,0.4
Westchester CC,1,0,2.0,0.0,0.0,0.4
"Northern Illinois University, Iowa State University",1,0,2.0,0.0,0.0,0.4
"State University of New York College at Buffalo, Vanderbilt University",1,0,2.0,0.0,0.0,0.4
South Carolina State University,1,0,2.0,0.0,0.0,0.4
"Syracuse University, University of Washington",1,0,2.0,0.0,0.0,0.4
Master's College,1,0,2.0,0.0,0.0,0.4
Mississippi Valley State University,1,0,2.0,0.0,0.0,0.4
Texas Southern University,1,0,2.0,0.0,0.0,0.4
"University of Virginia, University of Massachusetts Amherst",1,0,2.0,0.0,0.0,0.4
"University of Texas at El Paso, Mississippi State University",1,0,2.0,0.0,0.0,0.4
Christopher Newport University,1,0,2.0,0.0,0.0,0.4
"San Jose State University, University of Nebraska",1,0,2.0,0.0,0.0,0.4
Central State University,1,0,2.0,0.0,0.0,0.4
"University of Central Florida, Xavier University",1,0,2.0,0.0,0.0,0.4
"University of Arkansas, California State University, Fresno",1,0,2.0,0.0,0.0,0.4
Northern Illinois University,1,0,2.0,0.0,0.0,0.4
