ID,Year,Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
isselda01,1982,Dan Issel,C,33,DEN,3,,103,32,60,.533,0,0,,32,60,.533,.533,12,12,1.000,8,13,21,5,3,1,7,10,76
johnscl02,1982,Clay Johnson,SG,25,LAL,7,,38,5,9,.556,0,0,,5,9,.556,.556,2,2,1.000,1,2,3,1,1,0,1,6,12
johnsde01,1982,Dennis Johnson,SG,27,PHO,7,,271,63,132,.477,0,3,.000,63,129,.488,.477,30,39,.769,13,18,31,32,15,4,25,28,156
johnsed02,1982,Eddie Johnson,SG,26,ATL,2,,67,9,26,.346,0,0,,9,26,.346,.346,4,4,1.000,0,6,6,9,0,1,7,8,22
johnsfr01,1982,Frank Johnson,PG,23,WSB,7,,280,40,104,.385,5,12,.417,35,92,.380,.409,24,28,.857,7,15,22,59,10,0,29,24,109
johnsge02,1982,George Johnson,C,33,SAS,9,,175,4,8,.500,0,0,,4,8,.500,.500,3,5,.600,12,34,46,12,6,15,4,34,11
johnsjo01,1982,John Johnson,SF,34,SEA,7,,159,15,38,.395,0,0,,15,38,.395,.395,8,11,.727,7,7,14,34,6,0,11,17,38
johnsma02,1982,Magic Johnson,SG,22,LAL,14,,562,83,157,.529,0,4,.000,83,153,.542,.529,77,93,.828,54,104,158,130,40,3,44,50,243
johnsma01,1982,Marques Johnson,SF,25,MIL,6,,235,44,100,.440,1,4,.250,43,96,.448,.445,24,42,.571,23,21,44,20,6,2,12,25,113
johnsmi01,1982,Mickey Johnson,PF,29,MIL,6,,206,43,75,.573,0,1,.000,43,74,.581,.573,33,39,.846,15,17,32,18,8,4,13,27,119
jonesbo01,1982,Bobby Jones,PF,30,PHI,21,,589,94,174,.540,0,0,,94,174,.540,.540,68,81,.840,37,62,99,52,15,22,33,69,256
jonesca01,1982,Caldwell Jones,C,31,PHI,21,,679,74,160,.463,0,0,,74,160,.463,.463,35,41,.854,52,137,189,19,11,40,29,77,183
jordaed01,1982,Eddie Jordan,PG,27,LAL,3,,6,0,2,.000,0,1,.000,0,1,.000,.000,0,0,,0,0,0,5,2,0,1,0,0
kelleri01,1982,Rich Kelley,C,28,PHO,7,,191,27,54,.500,0,0,,27,54,.500,.500,14,20,.700,18,30,48,30,6,3,12,25,68
kelsegr01,1982,Greg Kelser,SF,24,SEA,3,,6,0,2,.000,0,0,,0,2,.000,.000,4,4,1.000,1,2,3,1,0,0,2,2,4
kingal01,1982,Albert King,SF,22,NJN,2,,58,18,33,.545,0,0,,18,33,.545,.545,4,5,.800,3,5,8,6,5,1,5,8,40
kramejo01,1982,Joel Kramer,PF,26,PHO,4,,20,5,7,.714,0,0,,5,7,.714,.714,2,3,.667,2,3,5,1,1,0,1,2,12
