ID,Player,Years,From,To,Team,GP,MIN,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,TOV,PF,ORB,DRB,REB,AST,STL,BLK,PTS,2P%,eFG%,Draft
8007,Davon Reed,4.0,2014.0,2017.0,UM,131,28.084,3.344,7.771,43.03178484107579,1.5419999999999998,3.908,39.457523029682704,2.023,2.603,77.71801767191702,1.4269999999999998,1.885,0.6559999999999999,2.985,3.641,1.656,0.863,0.366,10.252,46.647683147812565,52.953287865139615,32
11435,Marvin Williams,1.0,2014.0,2014.0,ULM,25,24.2,3.56,7.32,48.633879781420774,0.04,0.2,20.0,1.36,2.28,59.64912280701755,1.52,3.04,2.04,2.76,4.8,0.44,0.52,0.92,8.52,49.43820224719101,48.907103825136616,2
14656,Frank Mason,4.0,2014.0,2017.0,KU,145,29.971999999999998,4.2,9.241,45.449626663780975,1.276,3.034,42.05669083717864,3.324,4.3660000000000005,76.13376087952359,1.8619999999999999,1.979,0.5379999999999999,2.903,3.4410000000000003,3.972,1.138,0.069,13.0,47.10810375382634,52.35364138080296,34
17167,Demetrius Jackson,3.0,2014.0,2016.0,ND,103,31.476,4.029,8.621,46.73471755016819,1.291,3.388,38.10507674144039,2.34,2.99,78.26086956521738,1.65,1.913,0.8740000000000001,2.252,3.1260000000000003,3.252,1.107,0.223,11.689,52.321803936556464,54.222247999072025,45
17709,D'Angelo Russell,1.0,2015.0,2015.0,OSU,35,33.943000000000005,6.6,14.714,44.85523990757102,2.714,6.6,41.12121212121213,3.3710000000000004,4.457,75.63383441776979,2.9139999999999997,2.114,1.0,4.657,5.657,5.0,1.571,0.314,19.285999999999998,47.89253142716292,54.07774908250646,2
11139,Jahlil Okafor,1.0,2015.0,2015.0,DUKE,38,30.079,7.3420000000000005,11.052999999999999,66.42540486745679,0.0,0.0,,2.605,5.105,51.028403525954936,2.5,2.1319999999999997,3.5260000000000002,4.947,8.474,1.2890000000000001,0.763,1.421,17.289,66.42540486745679,66.42540486745679,3
11190,Stanley Johnson,1.0,2015.0,2015.0,U of A,38,28.447,4.579,10.263,44.616583844879656,1.1320000000000001,3.053,37.0782836554209,3.4739999999999998,4.684,74.16737830913749,2.158,2.6319999999999997,1.974,4.526,6.5,1.6580000000000001,1.5,0.395,13.763,47.80859916782246,50.131540485238226,8
18048,Kris Dunn,2.0,2015.0,2016.0,PROV,66,33.5,5.591,12.136,46.069545154911005,1.045,2.8789999999999996,36.297325460229246,3.7880000000000003,5.485,69.06107566089335,3.8480000000000003,2.9389999999999996,0.97,4.4239999999999995,5.394,6.864,2.6060000000000003,0.455,16.015,49.108782542940475,50.37491760052736,5
16255,Justise Winslow,1.0,2015.0,2015.0,DUKE,39,29.103,4.436,9.128,48.5977212971078,1.179,2.821,41.79369018078695,2.5639999999999996,4.0,64.1,1.821,2.7689999999999997,1.256,5.205,6.4620000000000015,2.103,1.3330000000000002,0.872,12.615,51.641033771999346,55.055872042068366,10
21553,Tyus Jones,1.0,2015.0,2015.0,DUKE,39,33.897,3.4619999999999997,8.308,41.67067886374579,1.205,3.179,37.905001572821654,3.6919999999999997,4.154,88.87818969667791,1.949,1.179,0.48700000000000004,3.0260000000000002,3.513,5.564,1.5130000000000001,0.077,11.821,44.00467927471243,48.92272508425614,24
