ID,Year,Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,PIR
robeyri01,1980,Rick Robey,C,24,BOS,9,,151,24,53,0.45299999999999996,0,1,0.0,24,52,0.462,0.45299999999999996,7,14,0.5,13,19,32,10,7,3,8,27,55,36
robintr01,1980,Truck Robinson,PF,28,PHO,3,,64,6,16,0.375,0,0,,6,16,0.375,0.375,5,7,0.7140000000000001,5,15,20,4,3,2,8,6,17,20
robinbi01,1980,Bill Robinzine,PF,27,KCK,3,,69,13,24,0.542,0,0,,13,24,0.542,0.542,7,10,0.7,7,11,18,0,3,0,6,6,33,28
rollitr01,1980,Tree Rollins,C,24,ATL,5,,134,18,31,0.581,0,0,,18,31,0.581,0.581,6,10,0.6,18,20,38,3,2,14,6,25,42,51
roundda01,1980,Dan Roundfield,PF,26,ATL,5,,174,32,69,0.46399999999999997,0,1,0.0,32,68,0.47100000000000003,0.46399999999999997,22,35,0.629,25,33,58,11,4,8,11,22,86,84
scottal01,1980,Alvin Scott,SF,24,PHO,8,,140,17,33,0.515,0,2,0.0,17,31,0.5479999999999999,0.515,4,8,0.5,8,14,22,10,4,5,7,8,38,44
sheltlo01,1980,Lonnie Shelton,PF,24,SEA,15,,469,74,146,0.507,0,1,0.0,74,145,0.51,0.507,32,51,0.627,35,90,125,25,23,12,37,54,180,183
shumajo01,1980,John Shumate,PF,27,SAS,3,,78,9,20,0.45,0,0,,9,20,0.45,0.45,3,3,1.0,7,6,13,5,4,4,5,9,21,22
sikmaja01,1980,Jack Sikma,C,24,SEA,15,,534,65,163,0.39899999999999997,0,2,0.0,65,161,0.40399999999999997,0.39899999999999997,46,54,0.852,30,96,126,55,17,5,35,55,176,183
silasja01,1980,James Silas,PG,30,SAS,3,,90,16,36,0.444,0,0,,16,36,0.444,0.444,11,11,1.0,1,6,7,9,6,1,5,8,43,33
silaspa01,1980,Paul Silas,PF,36,SEA,15,,257,13,43,0.302,0,0,,13,43,0.302,0.302,11,13,0.846,33,42,75,15,9,2,9,29,37,68
spanaji01,1980,Jim Spanarkel,SG,22,PHI,5,,8,0,2,0.0,0,0,,0,2,0.0,0.0,2,2,1.0,0,1,1,1,0,0,0,1,2,1
tomjaru01,1980,Rudy Tomjanovich,PF,31,HOU,7,,185,24,64,0.375,1,7,0.14300000000000002,23,57,0.40399999999999997,0.38299999999999995,9,13,0.6920000000000001,12,28,40,10,2,0,14,21,58,31
toonebe01,1980,Bernard Toone,PF,23,PHI,4,,6,0,4,0.0,0,1,0.0,0,3,0.0,0.0,0,0,,0,1,1,1,0,0,0,1,0,-3
twardda01,1980,Dave Twardzik,PG,29,POR,2,,20,1,4,0.25,0,0,,1,4,0.25,0.25,0,0,,1,3,4,2,2,0,3,2,2,2
unselwe01,1980,Wes Unseld,C,33,WSB,2,,87,7,14,0.5,0,1,0.0,7,13,0.5379999999999999,0.5,4,6,0.667,7,21,28,7,0,3,3,5,18,39
walkewa01,1980,Wally Walker,SF,25,SEA,13,,157,18,35,0.514,0,0,,18,35,0.514,0.514,18,24,0.75,15,14,29,7,1,3,5,20,54,46
waltoll01,1980,Lloyd Walton,PG,26,MIL,1,,4,0,1,0.0,0,0,,0,1,0.0,0.0,0,0,,0,1,1,1,0,1,1,0,0,1
washike01,1980,Kermit Washington,PF,28,POR,3,,121,13,26,0.5,0,1,0.0,13,25,0.52,0.5,5,8,0.625,12,19,31,6,1,4,4,9,31,44
washiri01,1980,Richard Washington,PF,24,MIL,7,,112,25,47,0.532,0,0,,25,47,0.532,0.532,1,4,0.25,7,13,20,3,4,8,8,22,51,31
wedmasc01,1980,Scott Wedman,SF,27,KCK,3,,116,29,64,0.45299999999999996,2,3,0.667,27,61,0.44299999999999995,0.469,8,11,0.727,6,15,21,9,1,3,2,9,68,53
westppa01,1980,Paul Westphal,SG,29,PHO,8,,253,69,142,0.486,1,12,0.083,68,130,0.523,0.489,28,32,0.875,2,8,10,31,11,3,13,20,167,112
wilkeja01,1980,Jamaal Wilkes,SF,26,LAL,16,,652,140,294,0.47600000000000003,0,1,0.0,140,293,0.478,0.47600000000000003,44,54,0.815,53,75,128,48,24,5,35,51,324,279
willigu01,1980,Gus Williams,PG,26,SEA,15,,564,146,284,0.514,1,5,0.2,145,279,0.52,0.516,62,86,0.721,30,30,60,84,34,7,47,38,355,293
willijo01,1980,John Williamson,SG,28,WSB,2,,31,11,19,0.579,2,6,0.33299999999999996,9,13,0.6920000000000001,0.632,3,3,1.0,1,1,2,1,0,0,4,7,27,11
wintebr01,1980,Brian Winters,SG,27,MIL,7,,268,46,100,0.46,9,21,0.429,37,79,0.46799999999999997,0.505,10,10,1.0,4,17,21,37,11,0,16,25,111,85
wrighla01,1980,Larry Wright,PG,25,WSB,2,,33,9,17,0.529,0,1,0.0,9,16,0.563,0.529,4,5,0.8,1,1,2,6,3,0,3,6,22,15
abdulka01,1981,Kareem Abdul-Jabbar,C,33,LAL,3,,134,30,65,0.462,0,0,,30,65,0.462,0.462,20,28,0.7140000000000001,13,37,50,12,3,8,11,14,80,85
adamsal01,1981,Alvan Adams,C,26,PHO,7,,218,27,60,0.45,0,0,,27,60,0.45,0.45,20,28,0.7140000000000001,11,30,41,26,4,1,19,20,74,66
architi01,1981,Tiny Archibald,PG,32,BOS,17,,630,95,211,0.45,0,5,0.0,95,206,0.461,0.45,76,94,0.809,6,22,28,107,13,0,50,39,266,191
